,open,high,low,close,volume,dividend_amount,split_coefficient,rolling_3_mean,rolling_7_mean,ewma,unix_timestamp,weekday,month,close_shifted
0,140.54,140.9,139.45,140.89,2858110,0.0,1.0,,,,-1.323040768,4,12,141.06
1,140.58,142.26,140.45,141.06,2337207,0.0,1.0,,,140.89,0.534052864,3,12,140.02
2,142.4,142.81,139.95,140.02,2539577,0.0,1.0,,,141.00333333333333,-1.9038208,2,12,142.42
3,141.73,142.72,141.23,142.42,2742525,0.0,1.0,140.65666666666667,140.65666666666667,140.4414285714286,-0.046727168,1,12,141.65
4,140.59,141.8565,139.6,141.65,2092715,0.0,1.0,141.16666666666666,141.16666666666666,141.49666666666664,-1.208287232,4,12,140.88
5,140.95,141.44,138.62,140.88,3337851,0.0,1.0,141.36333333333334,141.36333333333334,141.57580645161292,0.6488064,3,12,142.14
6,141.84,143.09,140.975,142.14,3793700,0.0,1.0,141.65,141.65,141.22238095238095,-1.789067264,2,12,141.28
7,138.84,141.425,138.34,141.28,5156450,0.0,1.0,141.55666666666664,141.55666666666664,141.6848031496063,0.068026368,1,12,138.87
8,140.16,140.44,137.195,138.87,5282860,0.0,1.0,141.43333333333334,141.43333333333334,141.48160784313725,1.92512,0,12,140.16
9,141.25,141.915,138.97,140.16,9834427,0.0,1.0,140.76333333333332,140.76333333333332,140.17324853228962,-1.093533696,4,12,142.36
10,148.52,148.98,141.58,142.36,6687744,0.0,1.0,140.10333333333332,140.10333333333332,140.16661779081136,0.763559936,3,12,149.86
11,150.47,151.91,148.45,149.86,4205878,0.0,1.0,140.46333333333334,140.46333333333334,141.26384465070836,-1.674313728,2,12,150.57
12,150.37,153.21,149.95,150.57,8811553,0.0,1.0,144.12666666666667,144.12666666666667,145.56297191697195,0.182779904,1,12,149.21
13,147.82,149.21,146.9426,149.21,4032780,0.0,1.0,147.5966666666667,147.5966666666667,148.0667916005372,2.039873536,0,12,147.05
14,147.4,148.34,146.97,147.05,3047581,0.0,1.0,149.88000000000002,149.88000000000002,148.63843069034976,-0.97878016,4,12,147.78
15,147.9,149.153,147.365,147.78,2665687,0.0,1.0,148.94333333333333,148.94333333333333,147.84419110690635,0.878313472,3,12,147.27
16,147.33,148.105,146.29,147.27,3971285,0.0,1.0,148.01333333333332,148.01333333333332,147.8120950637064,-1.559560192,2,12,147.5
17,147.3,147.8,146.7,147.5,2847610,0.0,1.0,147.36666666666667,147.36666666666667,147.5410454639089,0.29753344,1,12,147.41
18,147.94,148.93,146.8,147.41,2784767,0.0,1.0,147.51666666666668,147.51666666666668,147.52052265366615,-2.140340224,0,12,148.67
19,148.13,149.16,147.73,148.67,2899995,0.0,1.0,147.39333333333332,147.39333333333332,147.46526122143024,-0.864026624,4,12,149.16
20,149.98,150.01,147.34,149.16,4495924,0.0,1.0,147.85999999999999,147.85999999999999,148.0676311851799,0.993067008,3,12,148.9
21,146.19,149.64,145.67,148.9,6377582,0.0,1.0,148.41333333333333,148.41333333333333,148.61381585303107,-1.444806656,2,11,146.49
22,145.91,147.1668,145.7,146.49,2754744,0.0,1.0,148.91,148.91,148.75690796063134,0.412286976,1,11,146.18
23,147.98,148.24,145.935,146.18,3538696,0.0,1.0,148.18333333333334,148.18333333333334,147.62345384519742,-2.025586688,0,11,148.37
24,148.27,149.49,148.101,148.37,2075156,0.0,1.0,147.19,147.19,146.90172687958042,-0.749273088,4,11,148.75
25,149.1,150.46,148.3,148.75,3658459,0.0,1.0,147.01333333333335,147.01333333333335,147.63586346166917,-1.33005312,2,11,149.1
26,147.6,149.35,147.02,149.1,7062060,0.0,1.0,147.76666666666668,147.76666666666668,148.19293173913556,0.527040512,1,11,146.68
27,147.55,147.928,146.45,146.68,3476208,0.0,1.0,148.74,148.74,148.64646587294686,-1.910833152,0,11,147.64
28,146.56,148.31,145.94,147.64,4661735,0.0,1.0,148.17666666666665,148.17666666666665,147.6632329328106,-0.634519552,4,11,146.09
29,143.41,146.18,143.25,146.09,3955162,0.0,1.0,147.80666666666664,147.80666666666664,147.65161646638364,1.22257408,3,11,144.52
30,144.13,144.95,144.0081,144.52,3445302,0.0,1.0,146.8033333333333,146.8033333333333,146.87080823246467,-1.215299584,2,11,144.34
31,144.08,146.1609,142.0,144.34,4727107,0.0,1.0,146.08333333333334,146.08333333333334,145.695404115685,0.641794048,1,11,144.2
32,142.63,146.08,142.18,144.2,5245624,0.0,1.0,144.98333333333335,144.98333333333335,145.01770205768472,-1.796079616,0,11,143.17
33,141.5,144.13,140.96,143.17,5871264,0.0,1.0,144.35333333333332,144.35333333333332,144.60885102879476,-0.519766016,4,11,141.23
34,140.26,141.37,138.29,141.23,5389025,0.0,1.0,143.9033333333333,143.9033333333333,143.8894255143555,1.337327616,3,11,137.39
35,137.95,138.9,136.94,137.39,4720007,1.65,1.0,142.86666666666665,142.86666666666665,142.55971275713904,-1.100546048,2,11,140.04
36,139.0,140.93,138.72,140.04,5042756,0.0,1.0,140.59666666666666,140.59666666666666,139.97485637853188,0.756547584,1,11,138.34
37,136.64,138.7,136.51,138.34,4043062,0.0,1.0,139.5533333333333,139.5533333333333,140.0074281892662,-1.68132608,0,11,136.96
38,135.65,137.73,134.94,136.96,4177972,0.0,1.0,138.59,138.59,139.17371409463004,-0.40501248,4,11,134.47
39,136.42,136.48,133.97,134.47,4442443,0.0,1.0,138.4466666666667,138.4466666666667,138.06685704731302,1.452081152,3,11,136.83
40,137.75,140.17,136.8,136.83,5365264,0.0,1.0,136.59,136.59,136.26842852365488,-0.985792512,2,11,138.2
41,138.25,138.65,136.7,138.2,3590607,0.0,1.0,136.08666666666667,136.08666666666667,136.5492142618276,0.87130112,1,11,138.29
42,138.06,138.7699,136.595,138.29,4915270,0.0,1.0,136.5,136.5,137.37460713091397,-1.566572544,0,10,138.51
43,135.56,138.8615,135.22,138.51,5965457,0.0,1.0,137.77333333333334,137.77333333333334,137.832303565457,-0.290258944,4,10,134.77
44,135.55,136.4,134.445,134.77,3993168,0.0,1.0,138.33333333333334,138.33333333333334,138.17115178272851,1.566834688,3,10,135.01
45,133.72,135.863,132.81,135.01,5140023,0.0,1.0,137.18999999999997,137.18999999999997,136.4705758913642,-0.871038976,2,10,132.93
46,132.0,133.3,131.3,132.93,5957623,0.0,1.0,136.09666666666666,136.09666666666666,135.7402879456821,0.986054656,1,10,132.69
47,130.9,133.11,129.85,132.69,5610914,0.0,1.0,134.23666666666668,134.23666666666668,134.33514397284105,-1.451819008,0,10,129.9
48,128.39,130.845,127.59,129.9,7201256,0.0,1.0,133.54333333333332,133.54333333333332,133.5125719864205,-0.175505408,4,10,128.3
49,126.25,128.96,125.15,128.3,13623115,0.0,1.0,131.84,131.84,131.70628599321026,1.681588224,3,10,122.51
50,122.36,123.94,121.9875,122.51,5906576,0.0,1.0,130.29666666666668,130.29666666666668,130.00314299660513,-0.75628544,2,10,122.94
51,123.0,123.94,121.82,122.94,5120336,0.0,1.0,126.90333333333335,126.90333333333335,126.25657149830258,1.100808192,1,10,121.52
52,121.8,122.875,121.43,121.52,5458585,0.0,1.0,124.58333333333333,124.58333333333333,124.59828574915129,-1.337065472,0,10,120.04
53,121.8,122.54,119.84,120.04,3763840,0.0,1.0,122.32333333333334,122.32333333333334,123.05914287457564,-0.060751872,4,10,121.79
54,116.1,122.15,115.545,121.79,5837645,0.0,1.0,121.5,121.5,121.54957143728782,1.79634176,3,10,117.57
55,118.0,118.81,117.2,117.57,3338754,0.0,1.0,121.11666666666667,121.11666666666667,121.66978571864391,-0.641531904,2,10,117.8
56,117.46,119.23,116.94,117.8,4043265,0.0,1.0,119.8,119.8,119.61989285932195,1.215561728,1,10,117.75
57,119.79,119.96,117.04,117.75,5990008,0.0,1.0,119.05333333333333,119.05333333333333,118.70994642966097,-1.222311936,0,10,118.82
58,121.5,121.8016,118.07,118.82,4499672,0.0,1.0,117.70666666666666,117.70666666666666,118.2299732148305,0.054001664,4,10,122.23
59,124.88,125.3,121.77,122.23,5074624,0.0,1.0,118.12333333333333,118.12333333333333,118.52498660741524,1.911095296,3,10,125.74
60,124.71,126.46,124.23,125.74,3212872,0.0,1.0,119.59999999999998,119.59999999999998,120.37749330370762,-0.526778368,2,10,125.5
61,122.8,125.65,122.52,125.5,4566055,0.0,1.0,122.26333333333332,122.26333333333332,123.05874665185381,1.330315264,1,10,121.51
62,120.16,122.21,119.6,121.51,4261729,0.0,1.0,124.49,124.49,124.27937332592691,-1.1075584,0,10,118.81
63,121.66,122.43,118.61,118.81,5346108,0.0,1.0,124.25,124.25,122.89468666296347,0.1687552,4,9,121.63
64,121.85,122.62,120.57,121.63,3817723,0.0,1.0,121.94,121.94,120.85234333148173,2.025848832,3,9,122.76
65,121.65,123.23,119.81,122.76,4996378,0.0,1.0,120.64999999999999,120.64999999999999,121.24117166574086,-0.412024832,2,9,121.74
66,122.6,123.95,121.08,121.74,4117215,0.0,1.0,121.06666666666666,121.06666666666666,122.00058583287043,1.4450688,1,9,122.01
67,122.3,124.26,121.75,122.01,3987817,0.0,1.0,122.04333333333334,122.04333333333334,121.8702929164352,-0.992804864,0,9,122.71
68,124.53,125.0,121.74,122.71,5195693,0.0,1.0,122.17,122.17,121.94014645821761,0.283508736,4,9,125.31
69,124.76,126.51,124.41,125.31,4038335,0.0,1.0,122.15333333333335,122.15333333333335,122.3250732291088,2.140602368,3,9,124.93
70,126.89,127.84,124.92,124.93,3389545,0.0,1.0,123.34333333333332,123.34333333333332,123.8175366145544,-0.297271296,2,9,126.3
71,126.9,126.99,125.52,126.3,2837485,0.0,1.0,124.31666666666668,124.31666666666668,124.3737683072772,1.559822336,1,9,127.73
72,126.49,128.06,126.28,127.73,3981606,0.0,1.0,125.51333333333334,125.51333333333334,125.33688415363861,-0.878051328,0,9,127.27
73,124.36,127.53,123.83,127.27,9839696,0.0,1.0,126.32000000000001,126.32000000000001,126.53344207681931,0.398262272,4,9,125.49
74,127.39,127.465,124.9,125.49,5141671,0.0,1.0,127.10000000000001,127.10000000000001,126.90172103840965,-2.039611392,3,9,127.69
75,127.5,129.0,126.845,127.69,3819067,0.0,1.0,126.83,126.83,126.19586051920481,-0.18251776,2,9,127.25
